patient	well_fov	compartment	channel	feature	processor_type	subdir_input	subdir_mask	subdir_output
NF0037_T1-Z-1	F4-2	Cytoplasm	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	DNA.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	AGP.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	ER.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cytoplasm	Mito.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	DNA.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	AGP.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	ER.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Cell	Mito.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	DNA.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	AGP.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	ER.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Nuclei	Mito.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	DNA.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1-Z-1	F4-2	Organoid	AGP.BF	Colocalization	CPU	zstack_images	segmentation_masks	extracted_features
