Metadata_Experiment_Well,Metadata_Experiment_Treatment,Metadata_Experiment_Dose,Metadata_Experiment_Unit,Metadata_Experiment_Target,Metadata_Experiment_TherapeuticCategories,Metadata_Experiment_ViabilityPercentage,Metadata_Biology_PatientTumor,Metadata_Biology_TumorType
B2,ARV-825,1,uM,BRD4 inhibitor,PROTAC,79.31937173,NF0037_T1,cNF
B2,ARV-825,1,uM,BRD4 inhibitor,PROTAC,87.90125477,NF0055_T1,pNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,7.680144567,NF0014_T2,pNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,5.564387917,NF0035_T1,cNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,2.097902098,SARCO219_T2,MPNST
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,5.515338752,NF0014_T1,cNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,5.046403712,NF0021_T1,cNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,6.588132635,NF0037_T1,cNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,8.531517549,SARCO361_T1,MPNST
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,4.276642089,NF0055_T1,pNF
C2,Staurosporine,10,nM,Apoptosis induction,Experimental,6.295322053,NF0018_T6,cNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,41.38242602,NF0014_T2,pNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,48.41017488,NF0035_T1,cNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,39.51048951,SARCO219_T2,MPNST
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,22.4991165,NF0014_T1,cNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,31.67053364,NF0021_T1,cNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,50.95986038,NF0037_T1,cNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,21.25869924,SARCO361_T1,MPNST
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,86.46139057,NF0055_T1,pNF
D2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,38.61794398,NF0018_T6,cNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,41.38242602,NF0014_T2,pNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,48.41017488,NF0035_T1,cNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,39.51048951,SARCO219_T2,MPNST
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,22.4991165,NF0014_T1,cNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,31.67053364,NF0021_T1,cNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,50.95986038,NF0037_T1,cNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,21.25869924,SARCO361_T1,MPNST
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,86.46139057,NF0055_T1,pNF
E2,Digoxin,1,uM,Na+/K+ pump inhibitor,Cardiac Glycosides,38.61794398,NF0018_T6,cNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,56.56200587,NF0014_T2,pNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,34.77742448,NF0035_T1,cNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,49.65034965,SARCO219_T2,MPNST
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,32.64515099,NF0014_T1,cNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,41.51474975,NF0021_T1,cNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,56.54450262,NF0037_T1,cNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,57.0069594,SARCO361_T1,MPNST
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,65.75516173,NF0055_T1,pNF
F2,Onalespib,1,uM,HSP90 inhibitor,Investigational,50.16351486,NF0018_T6,cNF
