Drug,Concentration_uM,Viability_percentage
Onalespib,1,32.64515099
Digoxin,1,22.4991165
Trametinib,1,69.36695585
Fimepinostat,1,39.49429428
Rapamycin,1,70.41803942
Trametinib,10,69.85031749
Selumetinib,1,83.46196377
Copanlisib,1,45.04383315
Nilotinib,1,103.6993126
Binimetinib,1,95.74664554
Linsitinib,1,79.53123041
Everolimus,1,79.88919162
PD0325901,10,70.70076038
Binimetinib,10,87.1464563
Selumetinib,10,90.55278788
PD0325901,1,93.76987882
Ketotifen,1,112.7760234
Imatinib,1,114.1577081
Cabozantinib,1,118.8020839
Staurosporine,10,5.515338752
DMSO,0,100
