Drug,Concentration_uM,Viability_percentage
Binimetinib,1,86.80445151
Binimetinib,10,97.09856916
Cabozantinib,1,87.08267091
Copanlisib,1,56.75675676
DMSO,0,100
Digoxin,1,48.41017488
Everolimus,1,87.08267091
Fimepinostat,1,70.38950715
Imatinib,1,76.23211447
Ketotifen,1,98.76788553
Linsitinib,1,81.24006359
Mirdametinib,1,94.0381558
Mirdametinib,10,101.5500795
Nilotinib,1,126.0333863
Onalespib,1,34.77742448
Rapamycin,1,83.18759936
Selumetinib,1,82.90937997
Selumetinib,10,158.5850556
Staurosporine,10,5.564387917
Trametinib,10,173.3306836
Trametinib,1,79.00529963
